,PNR_Number,Train_Number,Date_of_Journey,Class_of_Travel,Quota,Source_Station,Destination_Station,Booking_Date,Current_Status,Number_of_Passengers,Age_of_Passengers,Booking_Channel,Travel_Distance,Number_of_Stations,Travel_Time,Train_Type,Seat_Availability,Special_Considerations,Holiday_or_Peak_Season,Waitlist_Position,Booking_Status,Waiting_Num,Distance,Final_Status
9509,PNR0000009509,75318,9/14/2050,Sleeper,Premium Tatkal,JU,UMB,1/13/2050,Waitlisted,3,Senior Citizen,Counter,239,14,10,Rajdhani,2192,Defense Quota,No,WL153,Not Confirmed,153,2.563431667,CAN
9510,PNR0000009510,93733,9/15/2050,1AC,Ladies,JHS,LTT,1/14/2050,Waitlisted,2,Child,IRCTC Website,395,17,37,Express,3608,,No,WL129,Not Confirmed,129,2.403826341,CAN
9511,PNR0000009511,11996,9/16/2050,1AC,General,BCT,ADI,1/15/2050,Waitlisted,2,Senior Citizen,Mobile App,1977,11,7,Superfast,2144,Defense Quota,No,WL038,Not Confirmed,38,1.773022595,CNF
9512,PNR0000009512,25812,9/17/2050,1AC,Tatkal,PNBE,PNBE,1/16/2050,Confirmed,3,Senior Citizen,IRCTC Website,1813,18,6,Shatabdi,824,Senior Citizen,Yes,,Confirmed,0,0.141221447,CNF
9513,PNR0000009513,56746,9/18/2050,2AC,General,HWH,SC,1/17/2050,RAC,1,Senior Citizen,IRCTC Website,1866,18,45,Superfast,2936,Senior Citizen,Yes,,Confirmed,0,0.345642871,CNF
9514,PNR0000009514,59741,9/19/2050,3AC,General,BSB,BBS,1/18/2050,Waitlisted,5,Senior Citizen,Mobile App,1747,8,34,Superfast,880,Defense Quota,Yes,WL139,Not Confirmed,139,2.731858384,CAN
9515,PNR0000009515,67932,9/20/2050,2AC,Premium Tatkal,NDLS,JU,1/19/2050,RAC,2,Senior Citizen,IRCTC Website,1766,5,15,Express,2872,Defense Quota,Yes,,Confirmed,0,0.401103727,CNF
9516,PNR0000009516,51980,9/21/2050,3AC,General,BBS,MMCT,1/20/2050,RAC,4,Senior Citizen,Mobile App,1867,14,31,Express,1496,Defense Quota,No,,Confirmed,0,0.434353538,CNF
9517,PNR0000009517,63364,9/22/2050,2AC,General,LTT,KOAA,1/21/2050,Confirmed,5,Senior Citizen,Mobile App,1665,16,42,Shatabdi,936,Defense Quota,Yes,,Confirmed,0,0.238277945,CNF
9518,PNR0000009518,91687,9/23/2050,2AC,Tatkal,PNBE,ASR,1/22/2050,RAC,2,Senior Citizen,IRCTC Website,290,5,38,Shatabdi,3616,Defense Quota,No,,Confirmed,0,0.243628727,CNF
9519,PNR0000009519,78475,9/24/2050,1AC,Premium Tatkal,NDLS,MAS,1/23/2050,Waitlisted,3,Adult,IRCTC Website,334,17,30,Express,1376,,Yes,WL050,Not Confirmed,50,2.011777057,CNF
9520,PNR0000009520,99892,9/25/2050,3AC,Premium Tatkal,LKO,GKP,1/24/2050,RAC,2,Adult,IRCTC Website,1271,3,15,Shatabdi,1368,Defense Quota,Yes,,Confirmed,0,0.545275251,CNF
9521,PNR0000009521,46526,9/26/2050,3AC,Ladies,JU,KOAA,1/25/2050,Waitlisted,4,Child,Mobile App,886,17,47,Shatabdi,2920,Defense Quota,No,WL137,Not Confirmed,137,2.475802435,CAN
9522,PNR0000009522,70328,9/27/2050,1AC,Tatkal,JHS,BBS,1/26/2050,RAC,2,Child,Mobile App,1604,5,6,Rajdhani,3144,Defense Quota,Yes,,Confirmed,0,0.165395088,CNF
9523,PNR0000009523,16575,9/28/2050,2AC,Ladies,BSB,HWH,1/27/2050,Waitlisted,1,Child,Counter,1541,5,43,Express,1624,Senior Citizen,No,WL023,Not Confirmed,23,1.563360561,CNF
9524,PNR0000009524,25427,9/29/2050,2AC,Ladies,SC,GKP,1/28/2050,Confirmed,2,Senior Citizen,Mobile App,949,10,8,Rajdhani,2344,Defense Quota,No,,Confirmed,0,0.300502808,CNF
9525,PNR0000009525,51961,9/30/2050,3AC,Tatkal,UMB,MMCT,1/29/2050,RAC,1,Adult,IRCTC Website,1639,12,18,Express,648,Senior Citizen,Yes,,Confirmed,0,0.011295908,CNF
9526,PNR0000009526,67890,10/1/2050,2AC,Tatkal,LKO,SBC,1/30/2050,Confirmed,1,Adult,Mobile App,515,17,20,Shatabdi,560,Senior Citizen,No,,Confirmed,0,0.087554586,CNF
9527,PNR0000009527,22237,10/2/2050,Sleeper,Premium Tatkal,PNBE,JU,1/31/2050,Confirmed,4,Senior Citizen,IRCTC Website,1886,11,37,Shatabdi,1552,,No,,Confirmed,0,0.385825289,CNF
9528,PNR0000009528,75103,10/3/2050,Sleeper,Tatkal,ADI,JP,2/1/2050,Confirmed,2,Adult,Counter,1055,16,30,Superfast,2408,Defense Quota,No,,Confirmed,0,0.355963664,CNF
9529,PNR0000009529,85093,10/4/2050,Sleeper,Ladies,BSB,BCT,2/2/2050,Confirmed,5,Adult,Counter,878,7,13,Rajdhani,944,,No,,Confirmed,0,0.245210552,CNF
9530,PNR0000009530,45089,10/5/2050,1AC,Premium Tatkal,BCT,ASR,2/3/2050,RAC,1,Senior Citizen,IRCTC Website,777,4,31,Rajdhani,2504,,Yes,,Confirmed,0,0.439154949,CNF
9531,PNR0000009531,13626,10/6/2050,Sleeper,General,NJP,CNB,2/4/2050,Waitlisted,3,Adult,Mobile App,1030,16,31,Shatabdi,672,,Yes,WL014,Not Confirmed,14,1.311259708,CNF
9532,PNR0000009532,31424,10/7/2050,1AC,General,NJP,LKO,2/5/2050,Waitlisted,5,Child,IRCTC Website,178,16,21,Rajdhani,1176,Defense Quota,No,WL025,Not Confirmed,25,1.642625053,CNF
9533,PNR0000009533,28435,10/8/2050,Sleeper,Tatkal,NDLS,CNB,2/6/2050,Confirmed,5,Adult,IRCTC Website,482,15,46,Rajdhani,3376,Senior Citizen,Yes,,Confirmed,0,0.035650516,CNF
9534,PNR0000009534,97168,10/9/2050,Sleeper,Tatkal,JU,BBS,2/7/2050,Waitlisted,3,Senior Citizen,Mobile App,840,17,6,Shatabdi,3776,,No,WL190,Not Confirmed,190,2.647553904,CAN
9535,PNR0000009535,31850,10/10/2050,3AC,Tatkal,LKO,ADI,2/8/2050,Waitlisted,1,Adult,IRCTC Website,1485,13,46,Shatabdi,336,,No,WL001,Not Confirmed,1,0.434182831,CNF
9536,PNR0000009536,68955,10/11/2050,3AC,Tatkal,SC,KOAA,2/9/2050,RAC,3,Senior Citizen,Counter,1494,13,10,Superfast,3528,Senior Citizen,Yes,,Confirmed,0,0.16737005,CNF
9537,PNR0000009537,58335,10/12/2050,1AC,Premium Tatkal,KOAA,SBC,2/10/2050,RAC,5,Child,Counter,1283,4,2,Rajdhani,3304,Senior Citizen,Yes,,Confirmed,0,0.026742947,CNF
9538,PNR0000009538,33896,10/13/2050,2AC,Tatkal,HWH,ADI,2/11/2050,Confirmed,3,Adult,IRCTC Website,1382,4,43,Shatabdi,368,Senior Citizen,No,,Confirmed,0,0.253937155,CNF
9539,PNR0000009539,18120,10/14/2050,Sleeper,Premium Tatkal,BBS,UMB,2/12/2050,Waitlisted,1,Adult,Counter,707,5,42,Superfast,1632,Senior Citizen,Yes,WL044,Not Confirmed,44,1.882471116,CNF
9540,PNR0000009540,66304,10/15/2050,3AC,Tatkal,JU,LTT,2/13/2050,Confirmed,3,Adult,Counter,530,13,19,Superfast,728,Senior Citizen,Yes,,Confirmed,0,0.058030162,CNF
9541,PNR0000009541,77480,10/16/2050,1AC,Tatkal,PNBE,MAS,2/14/2050,Confirmed,5,Child,Counter,1341,3,32,Rajdhani,2176,Defense Quota,Yes,,Confirmed,0,0.15491806,CNF
9542,PNR0000009542,28290,10/17/2050,1AC,General,BCT,HWH,2/15/2050,Waitlisted,2,Adult,IRCTC Website,725,8,3,Rajdhani,808,,No,WL010,Not Confirmed,10,1.158511802,CNF
9543,PNR0000009543,32720,10/18/2050,Sleeper,General,PNBE,NDLS,2/16/2050,Confirmed,1,Child,IRCTC Website,1427,4,47,Rajdhani,1104,Senior Citizen,Yes,,Confirmed,0,0.383862693,CNF
9544,PNR0000009544,36559,10/19/2050,2AC,Ladies,BCT,NJP,2/17/2050,RAC,2,Senior Citizen,IRCTC Website,982,14,22,Rajdhani,1552,,Yes,,Confirmed,0,0.385825289,CNF
9545,PNR0000009545,83989,10/20/2050,1AC,Ladies,BBS,CNB,2/18/2050,Waitlisted,5,Senior Citizen,Mobile App,1929,16,17,Shatabdi,512,,No,WL090,Not Confirmed,90,2.532429186,CAN
9546,PNR0000009546,59220,10/21/2050,2AC,Ladies,MMCT,PNBE,2/19/2050,Waitlisted,5,Child,Counter,804,11,23,Rajdhani,2328,,No,WL134,Not Confirmed,134,2.47986418,CAN
9547,PNR0000009547,12066,10/22/2050,Sleeper,General,CNB,MAS,2/20/2050,RAC,4,Adult,Counter,758,9,7,Express,2496,Senior Citizen,Yes,,Confirmed,0,0.432222342,CNF
9548,PNR0000009548,18782,10/23/2050,3AC,Premium Tatkal,HWH,LTT,2/21/2050,Confirmed,4,Senior Citizen,Mobile App,195,10,26,Rajdhani,72,Defense Quota,Yes,,Confirmed,0,0.510443615,CNF
9549,PNR0000009549,22138,10/24/2050,2AC,Tatkal,LKO,SBC,2/22/2050,Confirmed,3,Child,IRCTC Website,1905,8,18,Superfast,328,Defense Quota,No,,Confirmed,0,0.28860019,CNF
9550,PNR0000009550,65383,10/25/2050,2AC,Premium Tatkal,ASR,MMCT,2/23/2050,Confirmed,2,Senior Citizen,Mobile App,1059,6,38,Express,48,Senior Citizen,Yes,,Confirmed,0,0.531241436,CNF
9551,PNR0000009551,88215,10/26/2050,2AC,Tatkal,BCT,HWH,2/24/2050,Waitlisted,2,Child,IRCTC Website,305,15,35,Shatabdi,1056,,Yes,WL034,Not Confirmed,34,1.776273387,CNF
9552,PNR0000009552,82712,10/27/2050,2AC,General,MMCT,CNB,2/25/2050,Waitlisted,5,Senior Citizen,Mobile App,1589,6,20,Superfast,2800,Senior Citizen,No,WL030,Not Confirmed,30,1.711359553,CNF
9553,PNR0000009553,38752,10/28/2050,Sleeper,Ladies,GKP,NDLS,2/26/2050,RAC,5,Senior Citizen,Counter,1407,4,14,Shatabdi,2280,,No,,Confirmed,0,0.245041952,CNF
9554,PNR0000009554,44530,10/29/2050,Sleeper,Premium Tatkal,PNBE,ADI,2/27/2050,Waitlisted,2,Child,Counter,80,9,23,Rajdhani,3576,Senior Citizen,Yes,WL069,Not Confirmed,69,2.064788597,CNF
9555,PNR0000009555,39078,10/30/2050,Sleeper,General,KOAA,NDLS,2/28/2050,RAC,3,Adult,IRCTC Website,473,6,16,Shatabdi,1056,Defense Quota,Yes,,Confirmed,0,0.342267051,CNF
9556,PNR0000009556,46788,10/31/2050,Sleeper,Tatkal,CNB,BCT,3/1/2050,Waitlisted,4,Senior Citizen,Mobile App,554,15,27,Rajdhani,1088,Senior Citizen,Yes,WL093,Not Confirmed,93,2.375683327,CAN
9557,PNR0000009557,43382,11/1/2050,1AC,General,BSB,CSMT,3/2/2050,Confirmed,4,Senior Citizen,Counter,516,17,37,Rajdhani,2032,,No,,Confirmed,0,0.030131134,CNF
9558,PNR0000009558,27011,11/2/2050,3AC,Premium Tatkal,JU,MAS,3/3/2050,Waitlisted,2,Child,IRCTC Website,526,4,26,Rajdhani,2752,Defense Quota,No,WL122,Not Confirmed,122,2.441585057,CAN
9559,PNR0000009559,44504,11/3/2050,1AC,Premium Tatkal,BSB,PNBE,3/4/2050,Confirmed,3,Child,Mobile App,1901,11,15,Superfast,2248,Senior Citizen,Yes,,Confirmed,0,0.217311524,CNF
9560,PNR0000009560,96166,11/4/2050,3AC,Tatkal,NDLS,MMCT,3/5/2050,Confirmed,2,Senior Citizen,IRCTC Website,278,4,13,Rajdhani,160,,Yes,,Confirmed,0,0.434184938,CNF
9561,PNR0000009561,16908,11/5/2050,2AC,Ladies,JP,JP,3/6/2050,RAC,1,Child,IRCTC Website,272,2,17,Rajdhani,1496,Senior Citizen,Yes,,Confirmed,0,0.434353538,CNF
9562,PNR0000009562,11298,11/6/2050,2AC,Ladies,UMB,UMB,3/7/2050,RAC,3,Child,Mobile App,419,8,24,Superfast,64,Defense Quota,Yes,,Confirmed,0,0.517376222,CNF
9563,PNR0000009563,86120,11/7/2050,1AC,Ladies,MMCT,HWH,3/8/2050,RAC,1,Child,Mobile App,1905,19,10,Rajdhani,1248,,Yes,,Confirmed,0,0.50864962,CNF
9564,PNR0000009564,46678,11/8/2050,Sleeper,Premium Tatkal,BSB,SBC,3/9/2050,Confirmed,5,Senior Citizen,Mobile App,987,5,32,Superfast,1624,Defense Quota,No,,Confirmed,0,0.323431825,CNF
9565,PNR0000009565,32042,11/9/2050,1AC,Tatkal,NDLS,SBC,3/10/2050,Confirmed,4,Adult,IRCTC Website,610,14,4,Rajdhani,1552,Senior Citizen,Yes,,Confirmed,0,0.385825289,CNF
9566,PNR0000009566,65480,11/10/2050,3AC,Ladies,JU,BCT,3/11/2050,Waitlisted,4,Senior Citizen,Counter,115,10,38,Express,1016,Defense Quota,No,WL149,Not Confirmed,149,2.755248085,CAN
9567,PNR0000009567,58323,11/11/2050,2AC,Premium Tatkal,SBC,GKP,3/12/2050,RAC,2,Adult,Mobile App,216,2,40,Shatabdi,648,,No,,Confirmed,0,0.011295908,CNF
9568,PNR0000009568,19199,11/12/2050,3AC,Ladies,BBS,CSMT,3/13/2050,Waitlisted,2,Senior Citizen,Counter,958,12,8,Rajdhani,1176,,No,WL173,Not Confirmed,173,2.860434622,CAN
9569,PNR0000009569,30430,11/13/2050,1AC,Tatkal,BCT,LKO,3/14/2050,Confirmed,4,Adult,IRCTC Website,967,4,31,Express,1992,Defense Quota,No,,Confirmed,0,0.004531902,CNF
9570,PNR0000009570,56787,11/14/2050,2AC,Ladies,GKP,JHS,3/15/2050,Confirmed,4,Senior Citizen,Mobile App,944,13,21,Superfast,2992,,Yes,,Confirmed,0,0.297114622,CNF
9571,PNR0000009571,42995,11/15/2050,1AC,Tatkal,BSB,SBC,3/16/2050,Confirmed,1,Adult,IRCTC Website,1886,13,12,Shatabdi,2544,,Yes,,Confirmed,0,0.473817984,CNF
9572,PNR0000009572,18244,11/16/2050,3AC,General,PNBE,CSMT,3/17/2050,Waitlisted,3,Adult,Counter,1929,13,18,Express,616,Senior Citizen,No,WL014,Not Confirmed,14,1.314307027,CNF
9573,PNR0000009573,44361,11/17/2050,1AC,Premium Tatkal,MMCT,BCT,3/18/2050,Confirmed,5,Senior Citizen,Mobile App,587,11,45,Shatabdi,328,Defense Quota,No,,Confirmed,0,0.28860019,CNF
9574,PNR0000009574,63167,11/18/2050,3AC,Premium Tatkal,NDLS,BCT,3/19/2050,Confirmed,1,Adult,Counter,1653,5,19,Superfast,824,,No,,Confirmed,0,0.141221447,CNF
9575,PNR0000009575,47612,11/19/2050,1AC,Ladies,PNBE,BBS,3/20/2050,Waitlisted,1,Senior Citizen,Mobile App,280,9,12,Rajdhani,3264,,No,WL198,Not Confirmed,198,2.664507557,CAN
9576,PNR0000009576,72787,11/20/2050,2AC,Tatkal,BCT,BCT,3/21/2050,Confirmed,2,Adult,Mobile App,275,2,5,Shatabdi,1048,,No,,Confirmed,0,0.335334444,CNF
9577,PNR0000009577,45674,11/21/2050,2AC,General,JP,SBC,3/22/2050,RAC,3,Adult,Mobile App,1330,3,18,Superfast,1168,Senior Citizen,Yes,,Confirmed,0,0.439323549,CNF
9578,PNR0000009578,78530,11/22/2050,2AC,Premium Tatkal,BBS,JU,3/23/2050,Waitlisted,5,Adult,Mobile App,1428,15,45,Shatabdi,288,Defense Quota,No,WL001,Not Confirmed,1,0.462646679,CNF
9579,PNR0000009579,20279,11/23/2050,Sleeper,Ladies,SBC,JP,3/24/2050,Confirmed,1,Senior Citizen,Counter,1610,4,21,Superfast,512,,No,,Confirmed,0,0.129150228,CNF
9580,PNR0000009580,45793,11/24/2050,1AC,Premium Tatkal,LTT,BCT,3/25/2050,Waitlisted,4,Child,Mobile App,1755,9,23,Shatabdi,1672,Defense Quota,No,WL086,Not Confirmed,86,2.247400584,CNF
9581,PNR0000009581,99138,11/25/2050,3AC,Tatkal,KOAA,MMCT,3/26/2050,Confirmed,2,Senior Citizen,IRCTC Website,1048,13,12,Express,2584,Defense Quota,No,,Confirmed,0,0.508481019,CNF
9582,PNR0000009582,68949,11/26/2050,3AC,General,ADI,GKP,3/27/2050,Confirmed,5,Adult,Counter,1358,13,37,Shatabdi,3472,,Yes,,Confirmed,0,0.118841801,CNF
9583,PNR0000009583,80730,11/27/2050,1AC,Premium Tatkal,CNB,NDLS,3/28/2050,Confirmed,1,Adult,Counter,1925,9,28,Superfast,2048,Senior Citizen,Yes,,Confirmed,0,0.043996348,CNF
9584,PNR0000009584,98177,11/28/2050,1AC,General,SBC,GKP,3/29/2050,Confirmed,2,Child,Mobile App,142,7,30,Superfast,2688,Defense Quota,Yes,,Confirmed,0,0.560553689,CNF
9585,PNR0000009585,16202,11/29/2050,Sleeper,Premium Tatkal,MMCT,JU,3/30/2050,Confirmed,3,Adult,IRCTC Website,213,11,11,Express,3432,,No,,Confirmed,0,0.084178766,CNF
9586,PNR0000009586,51204,11/30/2050,Sleeper,Ladies,MAS,SC,3/31/2050,Waitlisted,3,Senior Citizen,Mobile App,379,9,23,Shatabdi,1856,Senior Citizen,No,WL094,Not Confirmed,94,2.273532186,CNF
9587,PNR0000009587,91829,12/1/2050,2AC,General,CNB,UMB,4/1/2050,Confirmed,2,Senior Citizen,Counter,1292,11,11,Express,1296,Senior Citizen,Yes,,Confirmed,0,0.550245262,CNF
9588,PNR0000009588,93854,12/2/2050,2AC,Tatkal,JP,JP,4/2/2050,Waitlisted,3,Senior Citizen,Counter,931,15,23,Express,648,,No,WL192,Not Confirmed,192,3.270078665,CAN
9589,PNR0000009589,32668,12/3/2050,Sleeper,Tatkal,JP,KOAA,4/3/2050,Waitlisted,1,Child,Counter,1865,19,3,Shatabdi,2896,,Yes,WL156,Not Confirmed,156,2.559530965,CAN
9590,PNR0000009590,18394,12/4/2050,3AC,Premium Tatkal,ADI,JHS,4/4/2050,RAC,4,Senior Citizen,Counter,1341,4,12,Rajdhani,0,,No,,Confirmed,0,0.572837079,CNF
9591,PNR0000009591,68634,12/5/2050,1AC,Ladies,MAS,GKP,4/5/2050,Waitlisted,1,Child,IRCTC Website,1842,14,30,Rajdhani,1408,Defense Quota,Yes,WL015,Not Confirmed,15,1.425588339,CNF
9592,PNR0000009592,36703,12/6/2050,Sleeper,Tatkal,CSMT,MAS,4/6/2050,Confirmed,2,Senior Citizen,Mobile App,558,4,43,Rajdhani,1216,,Yes,,Confirmed,0,0.480919192,CNF
9593,PNR0000009593,97560,12/7/2050,2AC,Ladies,UMB,GKP,4/7/2050,RAC,3,Senior Citizen,IRCTC Website,1219,19,42,Superfast,1408,Senior Citizen,No,,Confirmed,0,0.510612216,CNF
9594,PNR0000009594,55805,12/8/2050,3AC,General,KOAA,CSMT,4/8/2050,RAC,2,Child,Mobile App,1401,14,11,Superfast,3936,,Yes,,Confirmed,0,0.520933009,CNF
9595,PNR0000009595,41766,12/9/2050,Sleeper,General,BCT,LKO,4/9/2050,Waitlisted,2,Child,Mobile App,234,12,19,Superfast,3672,,Yes,WL106,Not Confirmed,106,2.299977652,CNF
9596,PNR0000009596,58408,12/10/2050,2AC,Tatkal,BBS,PNBE,4/10/2050,Confirmed,1,Adult,Counter,1072,18,32,Superfast,3512,Defense Quota,Yes,,Confirmed,0,0.153504836,CNF
9597,PNR0000009597,59343,12/11/2050,2AC,General,NDLS,LTT,4/11/2050,Waitlisted,2,Child,IRCTC Website,1352,15,15,Rajdhani,2424,Senior Citizen,Yes,WL180,Not Confirmed,180,2.679801574,CAN
9598,PNR0000009598,71440,12/12/2050,2AC,Tatkal,NDLS,BCT,4/12/2050,Waitlisted,1,Adult,Mobile App,564,4,34,Rajdhani,1672,Senior Citizen,No,WL098,Not Confirmed,98,2.327321949,CAN
9599,PNR0000009599,84945,12/13/2050,Sleeper,General,LKO,CSMT,4/13/2050,Confirmed,1,Adult,IRCTC Website,335,17,37,Express,3776,Defense Quota,No,,Confirmed,0,0.382280868,CNF
9600,PNR0000009600,38941,12/14/2050,Sleeper,Premium Tatkal,BSB,BCT,4/14/2050,Waitlisted,5,Adult,Mobile App,1895,12,41,Shatabdi,3552,,No,WL151,Not Confirmed,151,2.49208741,CAN
9601,PNR0000009601,58811,12/15/2050,3AC,Tatkal,BCT,GKP,4/15/2050,RAC,1,Adult,Mobile App,1436,5,3,Superfast,232,Senior Citizen,Yes,,Confirmed,0,0.371791474,CNF
9602,PNR0000009602,53824,12/16/2050,1AC,Ladies,ASR,SBC,4/16/2050,RAC,1,Child,Counter,1524,5,22,Express,2200,,No,,Confirmed,0,0.175715881,CNF
9603,PNR0000009603,63898,12/17/2050,1AC,Tatkal,SBC,NJP,4/17/2050,RAC,4,Senior Citizen,Counter,309,3,26,Shatabdi,1912,Senior Citizen,Yes,,Confirmed,0,0.073857972,CNF
9604,PNR0000009604,83904,12/18/2050,3AC,General,SBC,LKO,4/18/2050,RAC,2,Senior Citizen,IRCTC Website,578,2,31,Superfast,216,Defense Quota,No,,Confirmed,0,0.385656689,CNF
9605,PNR0000009605,37618,12/19/2050,1AC,Premium Tatkal,NJP,ADI,4/19/2050,Waitlisted,4,Child,IRCTC Website,514,6,17,Shatabdi,2768,Senior Citizen,Yes,WL050,Not Confirmed,50,1.963161621,CNF
9606,PNR0000009606,21844,12/20/2050,3AC,General,BSB,BSB,4/20/2050,Waitlisted,5,Child,Counter,1369,7,45,Shatabdi,3480,Defense Quota,No,WL065,Not Confirmed,65,2.028148334,CNF
9607,PNR0000009607,47347,12/21/2050,Sleeper,General,BCT,JP,4/21/2050,Waitlisted,1,Child,Counter,1340,2,16,Express,2328,Defense Quota,Yes,WL119,Not Confirmed,119,2.406274105,CAN
9608,PNR0000009608,10158,12/22/2050,1AC,General,NDLS,NDLS,4/22/2050,Confirmed,2,Adult,Counter,1738,13,22,Rajdhani,1232,Senior Citizen,No,,Confirmed,0,0.494784406,CNF
9609,PNR0000009609,96471,12/23/2050,1AC,General,MAS,CNB,4/23/2050,Confirmed,5,Senior Citizen,Counter,962,4,47,Shatabdi,728,,Yes,,Confirmed,0,0.058030162,CNF
9610,PNR0000009610,63508,12/24/2050,1AC,General,GKP,JP,4/24/2050,RAC,4,Adult,IRCTC Website,789,5,32,Shatabdi,2040,Senior Citizen,Yes,,Confirmed,0,0.037063741,CNF
9611,PNR0000009611,44290,12/25/2050,1AC,General,NDLS,NJP,4/25/2050,Confirmed,2,Senior Citizen,Counter,313,14,32,Shatabdi,1048,,Yes,,Confirmed,0,0.335334444,CNF
9612,PNR0000009612,76347,12/26/2050,Sleeper,Tatkal,CNB,KOAA,4/26/2050,Waitlisted,2,Child,Counter,215,5,25,Rajdhani,2984,,No,WL162,Not Confirmed,162,2.567816808,CAN
9613,PNR0000009613,69937,12/27/2050,Sleeper,General,GKP,KOAA,4/27/2050,RAC,1,Adult,IRCTC Website,1238,12,42,Rajdhani,3232,Senior Citizen,Yes,,Confirmed,0,0.08913641,CNF
9614,PNR0000009614,34041,12/28/2050,1AC,Tatkal,SC,GKP,4/28/2050,Confirmed,2,Adult,Counter,694,2,36,Express,3608,,No,,Confirmed,0,0.23669612,CNF
9615,PNR0000009615,47129,12/29/2050,Sleeper,Premium Tatkal,BSB,PNBE,4/29/2050,RAC,5,Senior Citizen,Mobile App,215,14,7,Shatabdi,1576,Defense Quota,Yes,,Confirmed,0,0.365027468,CNF
9616,PNR0000009616,95188,12/30/2050,Sleeper,Tatkal,ADI,HWH,4/30/2050,Waitlisted,3,Child,Counter,1345,13,36,Superfast,784,Defense Quota,Yes,WL059,Not Confirmed,59,2.093219887,CNF
9617,PNR0000009617,61590,12/31/2050,Sleeper,Tatkal,LTT,MAS,5/1/2050,RAC,1,Child,IRCTC Website,1857,18,31,Express,3352,Defense Quota,Yes,,Confirmed,0,0.014852695,CNF
9618,PNR0000009618,19004,1/1/2051,Sleeper,Tatkal,HWH,CSMT,5/2/2050,Confirmed,3,Adult,Counter,1211,2,22,Shatabdi,640,Senior Citizen,Yes,,Confirmed,0,0.018228515,CNF
9619,PNR0000009619,92684,1/2/2051,3AC,Ladies,KOAA,JHS,5/3/2050,Confirmed,1,Senior Citizen,Counter,673,3,7,Shatabdi,944,,Yes,,Confirmed,0,0.245210552,CNF
9620,PNR0000009620,26725,1/3/2051,1AC,General,BCT,SBC,5/4/2050,Waitlisted,5,Adult,IRCTC Website,1418,15,4,Shatabdi,1336,,No,WL052,Not Confirmed,52,2.045271257,CNF
9621,PNR0000009621,52740,1/4/2051,Sleeper,General,LTT,GKP,5/5/2050,RAC,5,Child,Counter,1672,18,22,Superfast,2072,Senior Citizen,No,,Confirmed,0,0.064794169,CNF
9622,PNR0000009622,33281,1/5/2051,Sleeper,Ladies,PNBE,LTT,5/6/2050,Confirmed,5,Adult,Mobile App,1374,16,8,Express,360,Defense Quota,Yes,,Confirmed,0,0.260869762,CNF
9623,PNR0000009623,62266,1/6/2051,1AC,Premium Tatkal,SBC,NDLS,5/7/2050,Confirmed,2,Adult,Counter,920,12,39,Express,2624,,No,,Confirmed,0,0.543144055,CNF
9624,PNR0000009624,70592,1/7/2051,Sleeper,Ladies,JHS,ASR,5/8/2050,RAC,1,Senior Citizen,IRCTC Website,1815,8,33,Superfast,2280,,Yes,,Confirmed,0,0.245041952,CNF
9625,PNR0000009625,15277,1/8/2051,Sleeper,General,CNB,GKP,5/9/2050,RAC,4,Adult,Mobile App,1513,15,43,Rajdhani,3296,Senior Citizen,No,,Confirmed,0,0.033675554,CNF
9626,PNR0000009626,37614,1/9/2051,3AC,Ladies,NJP,KOAA,5/10/2050,Waitlisted,1,Child,Mobile App,283,5,19,Rajdhani,472,Senior Citizen,Yes,WL178,Not Confirmed,178,3.455442371,CAN
9627,PNR0000009627,24106,1/10/2051,2AC,Tatkal,MMCT,SC,5/11/2050,Confirmed,4,Adult,IRCTC Website,1433,18,26,Rajdhani,3416,Senior Citizen,No,,Confirmed,0,0.070313551,CNF
9628,PNR0000009628,79303,1/11/2051,2AC,Ladies,PNBE,MAS,5/12/2050,RAC,2,Senior Citizen,Counter,1104,18,47,Shatabdi,3640,,No,,Confirmed,0,0.264426549,CNF
9629,PNR0000009629,79987,1/12/2051,2AC,Tatkal,BSB,GKP,5/13/2050,Confirmed,3,Senior Citizen,Mobile App,1560,7,31,Shatabdi,888,Defense Quota,Yes,,Confirmed,0,0.196682303,CNF
9630,PNR0000009630,84765,1/13/2051,Sleeper,Tatkal,MAS,ADI,5/14/2050,RAC,3,Child,Counter,1164,8,26,Shatabdi,2072,,Yes,,Confirmed,0,0.064794169,CNF
9631,PNR0000009631,33037,1/14/2051,2AC,Ladies,CNB,ADI,5/15/2050,Confirmed,3,Child,Mobile App,1499,5,10,Shatabdi,3008,,Yes,,Confirmed,0,0.283249408,CNF
9632,PNR0000009632,28227,1/15/2051,3AC,Ladies,CNB,ADI,5/16/2050,Waitlisted,2,Child,IRCTC Website,1201,5,20,Shatabdi,3144,Senior Citizen,Yes,WL124,Not Confirmed,124,2.386768252,CAN
9633,PNR0000009633,60463,1/16/2051,Sleeper,General,CNB,SC,5/17/2050,RAC,5,Adult,Mobile App,754,14,9,Rajdhani,3248,Senior Citizen,No,,Confirmed,0,0.075271196,CNF
9634,PNR0000009634,71769,1/17/2051,2AC,Tatkal,NJP,MAS,5/18/2050,Confirmed,2,Senior Citizen,Mobile App,1826,17,32,Express,3408,Senior Citizen,No,,Confirmed,0,0.063380944,CNF
